X1,Y1
241.8298784,15
46.50092872,86.28498863
99.52689754,151.9913025
77.0012223,38.64927372
103.1831362,175.3212892
82.20651813,46.56819064
130.5214225,77.81140792
164.9062852,15.09596635
152.8137501,16.84120477
218.2306099,15.00000002
169.3161327,15.02724267
249.8976582,15
203.1424627,15.00000014
211.3972543,15.00000003
35.47274311,59.51160162
228.6703195,15.00000001
245.239755,15
145.8199598,22.28113125
51.52133558,87.90304211
116.5225333,176.8399703
134.9197579,53.10985302
188.6321912,15.00003517
173.9523646,15.00652841
151.1615394,17.60460559
218.6712185,15.00000002
80.18021896,41.99493661
19.99475647,29.45840712
128.2384413,93.36339607
226.3744474,15.00000001
168.2612373,15.03714574
22.73102417,31.52516483
107.7503498,192.7554452
218.4493658,15.00000002
89.13918809,77.23616781
15.32769732,29.41164295
70.25339446,44.69114668
150.9896651,17.69818783
177.7686839,15.00185844
192.2740065,15.00000828
69.79322757,45.62280724
6.145444991,42.64031246
90.8428349,88.04682918
56.43833893,81.12890633
4.668750235,46.77668713
79.8619589,41.45393236
202.7886533,15.00000016
228.5756212,15.00000001
135.9019764,48.63871985
242.5233747,15
20.90194481,29.97405729
36.79788322,63.47707112
106.960124,190.9123298
56.74112163,80.48195358
217.9895751,15.00000002
177.0514152,15.0023665
213.4112388,15.00000003
154.2436444,16.34879836
199.2202919,15.00000052
73.51311291,39.81173993
234.3720319,15
179.258259,15.00111592
78.63664738,39.80689115
114.4042946,186.482087
196.3931169,15.00000157
131.2240154,73.37055526
31.42059945,47.95847281
77.66230081,38.9778005
32.9316088,52.09521108
177.999615,15.00171838
114.7759936,185.0251818
162.471539,15.18448717
219.248193,15.00000002
181.1724945,15.00057012
120.4443597,152.0368067
153.3503687,16.64021503
172.3899244,15.0106932
151.5974624,17.37997537
170.3825247,15.01980015
197.6504968,15.00000095
15.72386028,29.2477417
224.3223947,15.00000001
4.286863161,47.9612809
81.74179175,45.344646
119.7089137,157.2099207
45.66498244,85.17519524
26.11144703,36.20056758
63.56297156,61.99611176
203.9334891,15.00000012
97.0926802,133.9718595
101.3171589,164.1821089
114.7951588,184.9472165
109.0515374,194.6085088
52.60884466,87.07570312
147.3927248,20.4598473
130.8908313,75.45453362
9.976507442,34.76800744
105.1202562,184.6354047
211.656764,15.00000003
135.0460763,52.51323686
151.0706412,17.65373507
1.204901419,59.5140609
201.12848,15.00000027
207.4878059,15.00000006
69.6151975,45.9972658
142.677088,27.4719135
44.09027225,82.50834697
82.05468986,46.15689559
173.5062115,15.00752559
208.5269047,15.00000005
13.00969854,30.99970267
243.4802537,15
144.9965711,23.42379019
97.45865801,136.7439594
168.7287693,15.03239855
28.70644603,41.33126144
102.1037088,169.1035703
101.6715673,166.4372279
139.7633626,34.65466367
85.21997513,57.07208639
148.4562159,19.4627247
176.387662,15.00295287
146.6296498,21.28793147
232.1018684,15
197.483666,15.00000102
47.7560871,87.51968209
45.30736338,84.63359763
44.85751261,83.89770166
207.159558,15.00000006
110.0611296,195.0079936
56.84546264,80.25386249
185.5545436,15.00011456
243.7330745,15
59.32934615,74.15117519
248.3297172,15
233.5089219,15
225.7063897,15.00000001
11.81598149,32.24617375
94.84771573,116.8722613
221.0674173,15.00000001
124.5623731,120.9325477
19.27967454,29.1693618
47.19530155,87.0337766
210.8567135,15.00000004
126.8823279,103.2723061
185.7097944,15.00010804
248.1650965,15
241.5382934,15
1.211501459,59.48512214
25.38152133,34.99382654
135.5631707,50.13751907
40.95147815,75.32159314
205.4846106,15.00000008
208.4895171,15.00000005
149.6802979,18.51361791
28.52958735,40.94168517
5.565220546,44.18427178
164.833322,15.09790666
217.8346314,15.00000002
196.4606327,15.00000152
197.154352,15.00000116
214.6250254,15.00000002
18.87400614,29.05111408
181.3994827,15.00052585
58.8012485,75.54407771
72.92802402,40.44340122
233.0751197,15
94.25500323,112.4026849
136.8576635,44.65478712
130.8749715,75.554729
67.90045538,49.96493739
232.4439267,15
154.4581987,16.28612766
202.7728187,15.00000016
158.0886828,15.55525133
202.5809467,15.00000017
208.5376725,15.00000005
65.615411,56.05838022
76.90088301,38.6155528
246.8520859,15
243.7009403,15
143.5022934,25.88026277
201.878087,15.00000021
13.90803966,30.25572724
90.63401129,86.6641155
220.0123923,15.00000001
244.1083352,15
101.8549011,167.5799475
0.784133917,61.40028586
245.4402941,15
224.5226007,15.00000001
